molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL58301,CHEMBL5131,Ki,2000000.0,nM,O=C(NCCCCNCCCNC(=O)c1ccccc1)c1ccccc1,trypanosoma_cruzi
CHEMBL43184,CHEMBL5131,Ki,38000.0,nM,Nc1c2ccccc2nc2ccccc12,trypanosoma_cruzi
CHEMBL7568,CHEMBL5131,Ki,19000.0,nM,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,trypanosoma_cruzi
CHEMBL415,CHEMBL5131,Ki,6500.0,nM,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,trypanosoma_cruzi
CHEMBL152023,CHEMBL5131,Ki,27000.0,nM,CCN(CC)CCCC(C)Nc1c2ccccc2nc2ccc(OC)cc12,trypanosoma_cruzi
CHEMBL356839,CHEMBL5131,Ki,67000.0,nM,CCN(CC)CCCCSc1c2ccc(Cl)cc2nc2ccc(OC)cc12,trypanosoma_cruzi
CHEMBL356839,CHEMBL5131,Ki,21000.0,nM,CCN(CC)CCCCSc1c2ccc(Cl)cc2nc2ccc(OC)cc12,trypanosoma_cruzi
CHEMBL95,CHEMBL5131,Ki,140000.0,nM,Nc1c2c(nc3ccccc13)CCCC2,trypanosoma_cruzi
CHEMBL298628,CHEMBL5131,Ki,108000.0,nM,NCCCCN(CCCN)Cc1ccc2ccccc2c1,trypanosoma_cruzi
CHEMBL153790,CHEMBL5131,Ki,10000.0,nM,CCN(CC)CCCC(C)Nc1c2ccccc2nc2cc(Cl)ccc12,trypanosoma_cruzi
CHEMBL418644,CHEMBL5131,Ki,280000.0,nM,NCCCCN(CCCN)C(=O)OCc1ccccc1,trypanosoma_cruzi
CHEMBL58084,CHEMBL5131,Ki,19000.0,nM,NCCCN(CCCCN(CCCN)Cc1ccccc1)Cc1ccccc1,trypanosoma_cruzi
