molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL358286,CHEMBL367,IC50,7300.0,nM,COc1cc(/C=C/C(=O)c2ccccc2N(C)C)cc(OC)c1,leishmania_donovani
CHEMBL55,CHEMBL367,IC50,450.0,ug.mL-1,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,leishmania_donovani
CHEMBL137883,CHEMBL367,IC50,27000.0,nM,COc1ccc(C(=O)/C=C/c2ccc(F)cc2F)c(OC)c1,leishmania_donovani
CHEMBL144626,CHEMBL367,IC50,15000.0,nM,COc1ccc(/C=C/C(=O)c2ccccc2)c(OC)c1,leishmania_donovani
CHEMBL422481,CHEMBL367,IC50,23000.0,nM,COc1ccc(OC)c(/C=C/C(=O)c2ccc(O)cc2)c1,leishmania_donovani
CHEMBL148394,CHEMBL367,IC50,27000.0,nM,O=C(/C=C/c1ccc(F)cc1)c1ccc(C2CCCCC2)cc1,leishmania_donovani
CHEMBL417873,CHEMBL367,IC50,15000.0,nM,O=C(/C=C/c1ccc(F)cc1)c1ccc(F)cc1,leishmania_donovani
CHEMBL142569,CHEMBL367,IC50,5900.0,nM,COc1ccc(C(=O)/C=C/c2ccccc2[N+](=O)[O-])c(OC)c1OC,leishmania_donovani
CHEMBL142625,CHEMBL367,IC50,82000.0,nM,COc1cccc(OC)c1/C=C/C(=O)c1ccc(O)cc1,leishmania_donovani
CHEMBL145643,CHEMBL367,IC50,8600.0,nM,COc1ccc(/C=C/C(=O)c2cccc([N+](=O)[O-])c2)c(OC)c1,leishmania_donovani
CHEMBL146493,CHEMBL367,IC50,5500.0,nM,COc1cc(/C=C/C(=O)c2cccc(F)c2)cc(OC)c1,leishmania_donovani
CHEMBL114616,CHEMBL367,IC50,56000.0,nM,O=C(C[S+]([O-])C[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,leishmania_donovani
CHEMBL357476,CHEMBL367,IC50,22000.0,nM,COc1c(/C=C/C(=O)c2ccc(O)cc2)ccc(O)c1C,leishmania_donovani
CHEMBL147801,CHEMBL367,IC50,62000.0,nM,CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,leishmania_donovani
CHEMBL145203,CHEMBL367,IC50,20000.0,nM,COc1ccc(C(=O)/C=C/c2cccc(N(C)C)c2)c(OC)c1OC,leishmania_donovani
CHEMBL141530,CHEMBL367,IC50,68000.0,nM,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,leishmania_donovani
CHEMBL138314,CHEMBL367,IC50,106000.0,nM,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,leishmania_donovani
CHEMBL145927,CHEMBL367,IC50,83000.0,nM,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1,leishmania_donovani
CHEMBL145184,CHEMBL367,IC50,21000.0,nM,COc1ccc(C(=O)/C=C/c2ccc([N+](C)(C)C)cc2)c(OC)c1OC,leishmania_donovani
CHEMBL117876,CHEMBL367,IC50,28000.0,nM,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)CSCC(=O)OCc1ccccc1,leishmania_donovani
CHEMBL276473,CHEMBL367,IC50,16000.0,nM,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,leishmania_donovani
CHEMBL144300,CHEMBL367,IC50,3700.0,nM,COc1cc(/C=C/C(=O)c2cccc(O)c2)cc(OC)c1,leishmania_donovani
CHEMBL144465,CHEMBL367,IC50,14000.0,nM,COc1ccc(/C=C/C(=O)c2ccccc2Br)c(OC)c1,leishmania_donovani
CHEMBL128000,CHEMBL367,IC50,66000.0,nM,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O,leishmania_donovani
CHEMBL142458,CHEMBL367,IC50,81000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,leishmania_donovani
CHEMBL357640,CHEMBL367,IC50,38000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2cc(OCC=C)ccc2OCC=C)cc1,leishmania_donovani
