molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL137883,CHEMBL367,IC50,27000.0,nM,COc1ccc(C(=O)/C=C/c2ccc(F)cc2F)c(OC)c1,leishmania_donovani,4.568636235841013
CHEMBL144626,CHEMBL367,IC50,15000.0,nM,COc1ccc(/C=C/C(=O)c2ccccc2)c(OC)c1,leishmania_donovani,4.823908740944319
CHEMBL422481,CHEMBL367,IC50,23000.0,nM,COc1ccc(OC)c(/C=C/C(=O)c2ccc(O)cc2)c1,leishmania_donovani,4.638272163982407
CHEMBL148394,CHEMBL367,IC50,27000.0,nM,O=C(/C=C/c1ccc(F)cc1)c1ccc(C2CCCCC2)cc1,leishmania_donovani,4.568636235841013
CHEMBL417873,CHEMBL367,IC50,15000.0,nM,O=C(/C=C/c1ccc(F)cc1)c1ccc(F)cc1,leishmania_donovani,4.823908740944319
CHEMBL142569,CHEMBL367,IC50,5900.0,nM,COc1ccc(C(=O)/C=C/c2ccccc2[N+](=O)[O-])c(OC)c1OC,leishmania_donovani,5.229147988357856
CHEMBL142625,CHEMBL367,IC50,82000.0,nM,COc1cccc(OC)c1/C=C/C(=O)c1ccc(O)cc1,leishmania_donovani,4.086186147616283
CHEMBL145643,CHEMBL367,IC50,8600.0,nM,COc1ccc(/C=C/C(=O)c2cccc([N+](=O)[O-])c2)c(OC)c1,leishmania_donovani,5.0655015487564325
CHEMBL146493,CHEMBL367,IC50,5500.0,nM,COc1cc(/C=C/C(=O)c2cccc(F)c2)cc(OC)c1,leishmania_donovani,5.259637310505756
CHEMBL114616,CHEMBL367,IC50,56000.0,nM,O=C(C[S+]([O-])C[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,leishmania_donovani,4.251811972993799
CHEMBL357476,CHEMBL367,IC50,22000.0,nM,COc1c(/C=C/C(=O)c2ccc(O)cc2)ccc(O)c1C,leishmania_donovani,4.657577319177793
CHEMBL147801,CHEMBL367,IC50,62000.0,nM,CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,leishmania_donovani,4.207608310501746
CHEMBL145203,CHEMBL367,IC50,20000.0,nM,COc1ccc(C(=O)/C=C/c2cccc(N(C)C)c2)c(OC)c1OC,leishmania_donovani,4.698970004336019
CHEMBL141530,CHEMBL367,IC50,68000.0,nM,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,leishmania_donovani,4.167491087293763
CHEMBL138314,CHEMBL367,IC50,106000.0,nM,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,leishmania_donovani,3.9746941347352296
CHEMBL145927,CHEMBL367,IC50,83000.0,nM,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1,leishmania_donovani,4.080921907623926
CHEMBL145184,CHEMBL367,IC50,21000.0,nM,COc1ccc(C(=O)/C=C/c2ccc([N+](C)(C)C)cc2)c(OC)c1OC,leishmania_donovani,4.6777807052660805
CHEMBL117876,CHEMBL367,IC50,28000.0,nM,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)CSCC(=O)OCc1ccccc1,leishmania_donovani,4.552841968657781
CHEMBL276473,CHEMBL367,IC50,16000.0,nM,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,leishmania_donovani,4.795880017344075
CHEMBL144300,CHEMBL367,IC50,3700.0,nM,COc1cc(/C=C/C(=O)c2cccc(O)c2)cc(OC)c1,leishmania_donovani,5.431798275933005
CHEMBL144465,CHEMBL367,IC50,14000.0,nM,COc1ccc(/C=C/C(=O)c2ccccc2Br)c(OC)c1,leishmania_donovani,4.853871964321762
CHEMBL128000,CHEMBL367,IC50,66000.0,nM,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O,leishmania_donovani,4.180456064458132
CHEMBL142458,CHEMBL367,IC50,81000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2c(OC)cccc2OC)cc1,leishmania_donovani,4.0915149811213505
CHEMBL357640,CHEMBL367,IC50,38000.0,nM,C=CCOc1ccc(C(=O)/C=C/c2cc(OCC=C)ccc2OCC=C)cc1,leishmania_donovani,4.42021640338319
CHEMBL144585,CHEMBL367,IC50,136000.0,nM,CCCCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,leishmania_donovani,3.8664610916297826
CHEMBL145720,CHEMBL367,IC50,9700.0,nM,CCCCCCc1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,leishmania_donovani,5.013228265733755
CHEMBL148216,CHEMBL367,IC50,8300.0,nM,COc1cc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)cc(OC)c1,leishmania_donovani,5.080921907623926
