molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL2170338,CHEMBL612893,IC50,109000.0,nM,CC12CCC3(Cc4ccccc4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni,3.962573502059376
CHEMBL2170337,CHEMBL612893,IC50,7700.0,nM,CC12CCC3[C@@](C)(OO[C@]3(c3ccccc3)O1)O2,schistosoma_mansoni,5.113509274827518
CHEMBL2170336,CHEMBL612893,IC50,19200.0,nM,CC12CCC3[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni,4.716698771296451
CHEMBL2170335,CHEMBL612893,IC50,12200.0,nM,CC12CCC3(Cc4ccc([N+](=O)[O-])cc4)[C@@](C)(OO[C@]3(C)O1)O2,schistosoma_mansoni,4.913640169325252
CHEMBL2170334,CHEMBL612893,IC50,82400.0,nM,C#CCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni,4.084072788302884
CHEMBL2170333,CHEMBL612893,IC50,103000.0,nM,Cc1ccc(CC23CCC4(C)O[C@]2(C)OO[C@]3(C)O4)cc1,schistosoma_mansoni,3.9871627752948275
CHEMBL2170332,CHEMBL612893,IC50,105000.0,nM,CCOC(=O)CCC12CCC3(C)O[C@]1(C)OO[C@]2(C)O3,schistosoma_mansoni,3.9788107009300617
CHEMBL2170331,CHEMBL612893,IC50,8700.0,nM,CC12CCC3[C@@](C)(OO[C@]3(c3ccc(Br)cc3)O1)O2,schistosoma_mansoni,5.060480747381382
CHEMBL2170327,CHEMBL612893,IC50,117000.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCCC1,schistosoma_mansoni,3.9318141382538383
CHEMBL2170326,CHEMBL612893,IC50,103700.0,nM,CCOC(=O)CNC(=O)CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,3.984221243610959
CHEMBL2170325,CHEMBL612893,IC50,102000.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NCc1ccccc1,schistosoma_mansoni,3.9913998282380825
CHEMBL2170324,CHEMBL612893,IC50,36900.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCOCC1,schistosoma_mansoni,4.432973633840939
CHEMBL2170323,CHEMBL612893,IC50,129200.0,nM,CCOC(=O)CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,3.8887374863409345
CHEMBL2170322,CHEMBL612893,IC50,66600.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NC1CCCCC1,schistosoma_mansoni,4.176525770829699
CHEMBL2170321,CHEMBL612893,IC50,35500.0,nM,CC(c1ccc2ccccc2c1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,4.449771646944906
CHEMBL2170320,CHEMBL612893,IC50,110600.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCCCC1,schistosoma_mansoni,3.9562448730313204
CHEMBL2170319,CHEMBL612893,IC50,65600.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NCCc1ccccc1,schistosoma_mansoni,4.1830961606243395
CHEMBL2170318,CHEMBL612893,IC50,50100.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)N1CCCCCC1,schistosoma_mansoni,4.300162274132754
CHEMBL2169892,CHEMBL612893,IC50,41400.0,nM,C[C@]12OO[C@](C)(OO1)C2Cc1ccccc1,schistosoma_mansoni,4.382999658879101
CHEMBL2170317,CHEMBL612893,IC50,112000.0,nM,C[C@]12OO[C@](C)(OO1)C2Cc1ccc([N+](=O)[O-])cc1,schistosoma_mansoni,3.9507819773298185
CHEMBL2170316,CHEMBL612893,IC50,89800.0,nM,C[C@]12OO[C@](C)(OO1)C2CC(Br)CBr,schistosoma_mansoni,4.0467236633326955
CHEMBL2170516,CHEMBL612893,IC50,49800.0,nM,C=CCC1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,4.302770657240282
CHEMBL2169887,CHEMBL612893,IC50,132400.0,nM,C[C@]12OO[C@](C)(OO1)C2CC1CO1,schistosoma_mansoni,3.8781120148963186
CHEMBL2170515,CHEMBL612893,IC50,40000.0,nM,Cc1ccc(CC2[C@]3(C)OO[C@@]2(C)OO3)cc1,schistosoma_mansoni,4.3979400086720375
CHEMBL2170514,CHEMBL612893,IC50,18800.0,nM,CC(c1ccccc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,4.72584215073632
CHEMBL2170513,CHEMBL612893,IC50,33600.0,nM,CC(c1ccc(Br)cc1)C1[C@]2(C)OO[C@@]1(C)OO2,schistosoma_mansoni,4.473660722610156
CHEMBL2170512,CHEMBL612893,IC50,33300.0,nM,C[C@]12OO[C@](C)(OO1)C2CCC(=O)NC12CC3CC(CC(C3)C1)C2,schistosoma_mansoni,4.47755576649368
